2025-06-06 19:24:50 | Ether | 192.168.1.1 -> 192.168.1.2
2025-06-06 19:24:50 | Ether | 192.168.1.2 -> 192.168.1.1
2025-06-06 19:24:50 | Ether | 192.168.1.2 -> 192.168.1.1
2025-06-06 19:24:50 | Ether | 192.168.1.1 -> 192.168.1.2
2025-06-06 19:24:50 | Ether | 192.168.1.2 -> 192.168.1.1
2025-06-06 19:24:50 | Ether | 192.168.1.1 -> 192.168.1.2
2025-06-06 19:24:50 | Ether | 192.168.1.2 -> 192.168.1.1
2025-06-06 19:24:51 | Ether | 108.159.15.9 -> 192.168.1.2
2025-06-06 19:24:51 | Ether | 108.159.15.9 -> 192.168.1.2
2025-06-06 19:24:51 | Ether | 192.168.1.2 -> 108.159.15.9
2025-06-06 19:24:51 | Ether | 192.168.1.2 -> 108.159.15.9
2025-06-06 19:24:51 | Ether | 108.159.15.9 -> 192.168.1.2
2025-06-06 19:24:52 | Ether | 192.168.1.2 -> 149.154.167.99
2025-06-06 19:24:52 | Ether | 149.154.167.99 -> 192.168.1.2
2025-06-06 19:24:52 | Ether | 192.168.1.2 -> 149.154.167.99
2025-06-06 19:24:53 | Ether | 192.168.1.2 -> 149.154.167.99
2025-06-06 19:24:53 | Ether | 149.154.167.99 -> 192.168.1.2
2025-06-06 19:24:53 | Ether | 192.168.1.2 -> 149.154.167.99
2025-06-06 19:24:53 | Ether | 192.168.1.2 -> 57.144.211.33
2025-06-06 19:24:53 | Ether | 57.144.211.33 -> 192.168.1.2
2025-06-06 19:24:54 | Ether | 192.168.1.2 -> 57.144.211.33
2025-06-06 19:24:54 | Ether | 57.144.211.33 -> 192.168.1.2
2025-06-06 19:24:55 | Ether | 57.144.211.33 -> 192.168.1.2
2025-06-06 19:24:55 | Ether | 192.168.1.2 -> 57.144.211.33
2025-06-06 19:24:55 | Ether | 192.168.1.2 -> 149.154.167.99
2025-06-06 19:24:55 | Ether | 149.154.167.99 -> 192.168.1.2
2025-06-06 19:24:55 | Ether | 192.168.1.2 -> 149.154.167.99
2025-06-06 19:24:57 | Ether | 192.168.1.2 -> 91.108.56.103
